,dialogue,label,predict_label
0,the… picture’s breaking,RAJ,HOWARD
1,sharp thanks machine saw earlier,PENNY,SHELDON
2,go oh,HOWARD,LEONARD
3,keep thinking cool would call mom tell get tenure caltech,LEONARD,OTHERS
4,sigma particle,SHELDON,SHELDON
5,yeah really wish could penny every year mother relative cook famous tur-briska-fil,HOWARD,SHELDON
6,sheldon want,PENNY,PENNY
7,you’re go,PENNY,SHELDON
8,yeah,LEONARD,LEONARD
9,call everyone sweetie,PENNY,PENNY
10,oh goodness look room champagne roses oh little chocolate go best valentine’s day ever,RAJ,RAJ
11,bueno mi amigo,SHELDON,SHELDON
12,yes well apparently neither anyone else,SHELDON,SHELDON
13,know part fun motto community college,SHELDON,PENNY
14,yes bernie sure,HOWARD,HOWARD
15,okay uh mark get set go,RAJ,LEONARD
16,know say thing like youse guy listen see,RAJ,PENNY
17,yeah,OTHERS,LEONARD
18,i’ll tell lie,OTHERS,SHELDON
19,oh great bye,OTHERS,LEONARD
20,authority self-appointed member centre disease control street team premise condemn penny penny penny,SHELDON,SHELDON
21,afk i’m play age conan online multiplayer game set universe robert howard’s conan barbarian,SHELDON,SHELDON
22,good chocolate,SHELDON,SHELDON
23,course i’m go something uh howard check comic book store raj go thai restaurant i’ll stay penny apartment oh damn it’s sheldon’s mother break cannot catch hi mr cooper sheldon go home texas yeah know resign yes guess kind fault you’re right someone need come talk don’t worry i’ll take care yeah right new plan howard raj go texas i’ll stay penny apartment,LEONARD,LEONARD
24,it’s soup it’s courage,PENNY,SHELDON
25,it’s crunchy way like,LEONARD,RAJ
26,oh sheldon change password it’s penny freeloader space,LEONARD,LEONARD
27,can’t tell,SHELDON,SHELDON
28,hey,PENNY,LEONARD
29,penny penny penny everything you’re say true please allow continue raj you’re good question provide certain cultural diversity otherwise homogenous group response questionnaire truly disturb could moment think favourite amino acid glutamine,SHELDON,SHELDON
30,oh oh uh could uh stand outside window boom box air,RAJ,LEONARD
31,don’t appreciate sarcasm we’ve still get two block go i’ll put,RAJ,SHELDON
32,excuse protect friend i’m big fan homeostasis know,SHELDON,SHELDON
33,thought might take mind cushion,LEONARD,SHELDON
34,amy look great,PENNY,PENNY
35,yeah didn’t quarter i’ve sneak stuff people’s load day hey tell something promise tell anybody,PENNY,PENNY
36,could play tiny ridiculous guitar,HOWARD,SHELDON
37,don’t worry we’re plan sex right salad bar,LEONARD,HOWARD
38,oh could turn act extract would double point,OTHERS,SHELDON
39,yes i’m successful able map reproduce think process derive grand unify theory therefore subsume conclusion paradigm,OTHERS,SHELDON
40,well lot common mean they’re scientist,PENNY,SHELDON
41,bet he’s someone babylon we’re never go guess,SHELDON,LEONARD
42,know don’t forget enjoy valentine’s day,LEONARD,OTHERS
43,sweet minute i’m gonna show much mean,LEONARD,PENNY
44,we’re go movie movie theatre time try make impossible locate couldn’t do well job,SHELDON,SHELDON
45,please don’t touch breast,OTHERS,SHELDON
46,bet could throw rock room come three good friend,LEONARD,SHELDON
47,three hundred i’ll throw original mattel millenium falcon real light speed sound effect,RAJ,SHELDON
48,graduate work impressive,LEONARD,SHELDON
49,look wil wheaton old friend chase round moon nibia round antares maelstrom round perdition’s flame,SHELDON,SHELDON
50,there’s go theme let know don’t care luau toga sea,SHELDON,LEONARD
51,oh hey amy bernadette texted howard propose,PENNY,LEONARD
52,chance,PENNY,LEONARD
53,good day sheldon cooper,OTHERS,SHELDON
54,hmmm certainly symmetry low body fat western culture deem desirable it’s noteworth point history heavy woman standard beauty girth suggest affluence,SHELDON,SHELDON
55,thank would honour,SHELDON,SHELDON
56,don’t like spot keep turn head,SHELDON,SHELDON
57,think she’s smoking hot,RAJ,SHELDON
58,okay,SHELDON,PENNY
59,good morning leonard say yee-haw,OTHERS,SHELDON
60,don’t know,LEONARD,LEONARD
61,take benadryl fall asleep pleasuring die way,HOWARD,SHELDON
62,well that’s delightful little story arrangement sit say anything answer question,SHELDON,SHELDON
63,mess,SHELDON,OTHERS
64,hey cooper hear dwunk-dialed stephen hawk last night classic,OTHERS,SHELDON
65,quantum physic make happy,SHELDON,SHELDON
66,yes,SHELDON,SHELDON
67,really want ask,HOWARD,LEONARD
68,okay safe trip,PENNY,PENNY
69,call phone play brown eyed girl think good,RAJ,HOWARD
70,radio call fever fm new delhi fourth person say phrase pay “fever आज के नये अच्छे संगीत का घर.” mean “fever home really good current music.” it’s much catchy hindi,RAJ,SHELDON
71,good-bye mother,LEONARD,SHELDON
72,wow oh truly remarkable,SHELDON,SHELDON
73,mmm oh cheesecake you’re good woman even though can’t sex,RAJ,PENNY
74,fyi defrost steak,SHELDON,SHELDON
75,defence preface say “with due respect.”,SHELDON,LEONARD
76,howard,SHELDON,LEONARD
77,aw,OTHERS,LEONARD
78,tell video conference nasa say don’t bother,HOWARD,LEONARD
79,car tow cost two hundred dollar get back,OTHERS,SHELDON
80,we’ll pack stuff meet hospital,PENNY,LEONARD
81,okay i’m go play cool tell maybe whatever babe,RAJ,LEONARD
82,can’t believe explain people change names blog protect privacy roger raj,HOWARD,LEONARD
83,good may leave important relationship,SHELDON,SHELDON
84,okay position degree north west mean azimuth degree relative magnetic north elevation,RAJ,SHELDON
85,new girlfriend ‘cause might need one,PENNY,HOWARD
86,okay open ’em leave dungeon eaten alive ogre,OTHERS,SHELDON
87,okay,PENNY,PENNY
88,know pipe,OTHERS,SHELDON
89,hello penny hello kurt,LEONARD,SHELDON
90,shhhhh,SHELDON,SHELDON
91,let see oh screw deal little self-loathing let’s go find heinie bite,PENNY,PENNY
92,richard feynman play bongo think i’d give try,SHELDON,SHELDON
93,doesn’t mean one won’t another especially i’m drive,SHELDON,SHELDON
94,mean exactly,PENNY,PENNY
95,underworld guardian skirmish death,SHELDON,SHELDON
96,thank,SHELDON,SHELDON
97,rule,PENNY,SHELDON
98,oh call apologize oh,SHELDON,LEONARD
99,okay come almost,LEONARD,LEONARD
100,true,RAJ,OTHERS
101,hmm he’s crazy needle get go jog it’ll pour nose,PENNY,LEONARD
102,oh i’m i’m sorry assume want candid truth-telling employee realize want mindless natter complacent yes-man,SHELDON,SHELDON
103,hey want finish work man foot,LEONARD,PENNY
104,time share time machine i’m sheldon,RAJ,LEONARD
105,okay well university web site norton hall multipurpose room mixer grad student faculty science humanity departments whether split atom infinitives place,RAJ,LEONARD
106,don’t understand exactly get friend first place,PENNY,PENNY
107,roll dice leonard,SHELDON,SHELDON
108,well it’s settle christie stay howard penny go back apartment i’ll watch last minute doctor although point it’s like doctor bother,SHELDON,LEONARD
109,wow anything orthotics,OTHERS,PENNY
110,it’s appreciate ever manage find woman i’ll glad return favour,SHELDON,SHELDON
111,win go bed,LEONARD,LEONARD
112,thank uh university make come didn’t want uh big fan show,SHELDON,LEONARD
113,put gps tracker garbage convinced north korean spy steal doodle chicken nugget sure human nugget strangely-shaped cloud follow around town time put shirt mistake convince you’d start grow,LEONARD,SHELDON
114,yes can’t make promise that’s sort thing get fella short list number eight friend slot,SHELDON,SHELDON
115,i’m say,LEONARD,SHELDON
116,yeah see bernie’s engagement ring come right mom’s back,HOWARD,HOWARD
117,okay everybody calm simple solution raj take train store don’t care people,SHELDON,SHELDON
118,thank amy here’s cat here’s,SHELDON,SHELDON
119,give,LEONARD,SHELDON
120,yeah well maybe,PENNY,PENNY
121,yeah well want spend whole weekend run around bunch pretend planet battle make monster that’s baby,SHELDON,OTHERS
122,i’ll let tonight morning i’ll send e-mail letting know body never gonna wonderland mean frankly you’ve get well shot,OTHERS,LEONARD
123,get go,OTHERS,HOWARD
124,we’re fly we’re take train,SHELDON,SHELDON
125,see knew always mean,LEONARD,SHELDON
126,remind another say lead chicken crisco can’tmake mother fry,SHELDON,SHELDON
127,well can’t call dibs,HOWARD,SHELDON
128,wasn’t star,LEONARD,SHELDON
129,come yup that’s good wine glass handle,PENNY,PENNY
130,okay come,PENNY,PENNY
131,leonard i’m go get ahead thing need find what’s grow throat,SHELDON,SHELDON
132,oh hang hang hang sheldon would take go liquor store buy bottle hooch take across street motel way,OTHERS,LEONARD
133,wow that’s heavy,RAJ,LEONARD
134,sexually,HOWARD,OTHERS
135,come sheldon open door,RAJ,PENNY
136,who‘s,LEONARD,PENNY
137,wow,LEONARD,PENNY
138,thanks sheldon i’ll try father-in-law,HOWARD,LEONARD
139,could get i’m sick,PENNY,SHELDON
140,think,LEONARD,LEONARD
141,yes miss amy,SHELDON,PENNY
142,thing mother work full-time take care brother sister,OTHERS,SHELDON
143,say grinch christmas,SHELDON,SHELDON
144,you’re lucky man bernie’s great gal,OTHERS,HOWARD
145,tell you’re circle flatland gal hot circle,SHELDON,SHELDON
146,turn bear,PENNY,SHELDON
147,many variable would take forever,HOWARD,OTHERS
148,thank i’ve get talk mailman,PENNY,PENNY
149,ah thank,PENNY,RAJ
150,can’t believe whole time small part think lie,PENNY,SHELDON
151,okay fun,OTHERS,PENNY
152,don’t know howard isn’t really family fun kind guy,LEONARD,PENNY
153,hey raj didn’t send rsvp i’m suppose ask you’re bring someone wedding,HOWARD,LEONARD
154,master’s degree,HOWARD,SHELDON
155,yeah sheldon would take,LEONARD,LEONARD
156,need cryogenic centrifugal pump,SHELDON,LEONARD
157,oh man two-stage rocket,LEONARD,HOWARD
158,depends learn i’m robot able handle,SHELDON,SHELDON
159,six-thirty morning,SHELDON,LEONARD
160,amy already real harp play song try pull,SHELDON,SHELDON
161,grab door,LEONARD,SHELDON
162,sheldon guest who’s upset,OTHERS,OTHERS
163,well thought…,LEONARD,SHELDON
164,guy should’ve see leonard first meet eye contact either look ceiling shoe,PENNY,PENNY
165,fine tell i’ll,LEONARD,LEONARD
166,go pick friend justin airport aand can’t play ’cause i’m go right,LEONARD,PENNY
167,hi stuart,OTHERS,LEONARD
168,six stranger that’s lot pressure star ask personal question like lock bathroom,OTHERS,SHELDON
169,go go go go,LEONARD,LEONARD
170,sure every time dad stayed night mom would put hamster poop chew tobacco,SHELDON,SHELDON
