,dialogue,label,predict_label
0,none less,PHOEBE,RACHEL
1,hey guy know new year's gee wrong new year's,RACHEL,CHANDLER
2,that’s great hey excellent,Others,Others
3,happen,MONICA,CHANDLER
4,we’re gonna paint sword replace baguette,PHOEBE,CHANDLER
5,hand totally clean give duck bath,JOEY,JOEY
6,oh well give phone,CHANDLER,CHANDLER
7,rach come see who's,MONICA,ROSS
8,oh no-no-no-no want know,JOEY,CHANDLER
9,woo-hoo curse broken call everybody know everyone alive,PHOEBE,PHOEBE
10,ˇhola joey,Others,MONICA
11,oh yeah would um problem i-i tip way much way way much it’s sickness really,ROSS,Others
12,thank rachel kiss one minute,MONICA,Others
13,oh-no don’t try talk normal thing ear,JOEY,CHANDLER
14,suppose,ROSS,MONICA
15,they've go two week ross love like year,JOEY,Others
16,monica true,RACHEL,RACHEL
17,oh i’m i’m make hard okay want,ROSS,RACHEL
18,two,Others,CHANDLER
19,oh uh would mine see write note realise need ball wish dead,CHANDLER,ROSS
20,well small one listen let’s kinda get go,ROSS,JOEY
21,touch mine first,Others,PHOEBE
22,come fun,ROSS,Others
23,thanks guy really appreciate y’know don’t rub butt,ROSS,PHOEBE
24,even know,MONICA,RACHEL
25,like best seat ever,CHANDLER,MONICA
26,know mean think carol straight marry,ROSS,ROSS
27,yeah come it’s ross rachel they’ve get,CHANDLER,MONICA
28,life phoebe,ROSS,MONICA
29,ok great tell we'll laugh let's play poker,MONICA,ROSS
30,oh forget okay,ROSS,RACHEL
31,oh god water break,MONICA,MONICA
32,i-i try figure,RACHEL,ROSS
33,hey ad alone cost buck,JOEY,CHANDLER
34,noo oh it’s okay it’s okay baby baby baby,CHANDLER,PHOEBE
35,well think learn something,JOEY,CHANDLER
36,oh-ho-ho we’ve get company,MONICA,CHANDLER
37,uh-huh,Others,ROSS
38,hi,CHANDLER,Others
39,yeah it’s guys’ apartment sink,PHOEBE,ROSS
40,what’s matter something wrong stay,Others,JOEY
41,okay,ROSS,RACHEL
42,know funny parent get divorced sent shrink tell kid tendency blame case actually kinda true,CHANDLER,CHANDLER
43,okay monica,ROSS,RACHEL
44,y’know use go guy really light sleeper whenever start snore would roll over…,MONICA,MONICA
45,thank,MONICA,ROSS
46,yes like little hop,MONICA,Others
47,hey guy look one-eyed jack follow wherever go right ok serious poker,PHOEBE,ROSS
48,wanna see still,CHANDLER,Others
49,use phone,CHANDLER,Others
50,yeah-eah-ha,RACHEL,PHOEBE
51,i-i like,Others,JOEY
52,sorry,CHANDLER,Others
53,great right i’ll call later,JOEY,Others
54,oh think great silence lamb oh come admit thing consider fun tonight,CHANDLER,CHANDLER
55,oh yeah there's ross joey,PHOEBE,CHANDLER
56,plate plate plate,Others,Others
57,yes,RACHEL,CHANDLER
58,okay,MONICA,RACHEL
59,ohhh wanna come give hug wish luck wed don’t—can’t get,PHOEBE,CHANDLER
60,thank cha-ching oh well hello mr lincoln well luck next time buddy drink,JOEY,Others
61,aww reason want go blond wig big boob fact serve food,MONICA,JOEY
62,i-i want apologise i—y’know seem tad edgy yesterday shower y’know it’s hormone y’know,PHOEBE,RACHEL
63,ooh something hurt,JOEY,PHOEBE
64,yes uh huh okay,PHOEBE,ROSS
65,okay,Others,RACHEL
66,right,JOEY,CHANDLER
67,start throw thing,MONICA,ROSS
68,it’s okay it’s bad look it’s precaution ah i’m suppose move spine,Others,ROSS
69,okay really they're plenty people see sister thanksgiving see college roommate reunion see joey burger king good,ROSS,ROSS
70,many perfectly fine woman gonna reject superficial insignificant thing,MONICA,CHANDLER
71,mom say manhattan part brooklyn queen idea come back,MONICA,ROSS
72,ohh ohh lorne green,Others,RACHEL
73,small,ROSS,Others
74,go,Others,CHANDLER
75,get well that’s,ROSS,CHANDLER
76,oh sure ross it’s like job child life,ROSS,RACHEL
77,i've get magic bean never-never mind,RACHEL,ROSS
78,that's ridiculous feel guilty failure,ROSS,MONICA
79,wow look run,CHANDLER,CHANDLER
80,umm don’t think,Others,MONICA
81,well sure use large font,ROSS,RACHEL
82,yeah…,RACHEL,ROSS
83,there's party there's party power still grab follow,RACHEL,ROSS
84,right stop you’re freak,PHOEBE,CHANDLER
85,right,CHANDLER,CHANDLER
86,oh um cut scrape,Others,Others
87,we're,ROSS,MONICA
88,bobby,Others,Others
89,yeah,PHOEBE,ROSS
90,hey there’s dog,JOEY,CHANDLER
91,well you-you’ll get job mean i’m always hear uh foreigner come steal american job could,ROSS,RACHEL
92,well i’ve get girl,CHANDLER,RACHEL
93,would work,Others,MONICA
94,well next time massage try distract,MONICA,PHOEBE
95,well i’m sure mean guess y'know get use fact there’s y'know new mom y'know think she’s worry y'know she’s gonna she’s gonna replace well that’s gonna happen noo okay return call room,PHOEBE,CHANDLER
96,i’m stop i’m red ross,ROSS,JOEY
97,right i’ll retract stand review know food wasn’t you’re marinara sauce taste like tomato juice serve vodka piece celery,MONICA,Others
98,dan move downstairs yeah get back like four-month trek andes nice fella,JOEY,ROSS
99,sorry paolo's catch early flight,RACHEL,MONICA
100,oh well i’m divorce,Others,Others
101,yeah that's like two block away beach mean total party zoo,CHANDLER,ROSS
102,yeah yeah even,PHOEBE,ROSS
103,i’ve get reason stay,Others,CHANDLER
104,moment i'm,RACHEL,CHANDLER
105,wait ridiculous,RACHEL,MONICA
106,woo-hoo right yeah,JOEY,PHOEBE
107,i’m marjorie,Others,Others
108,oh sorry mean chandler,RACHEL,RACHEL
109,buy hibachi together run get married thing get pretty ugly,CHANDLER,CHANDLER
110,dumb drunken bitch thank thanks,PHOEBE,PHOEBE
111,oh okay hey two beer,Others,PHOEBE
112,get,RACHEL,JOEY
113,good chance sprout wing fly nose make fun,MONICA,ROSS
114,come touch,Others,Others
115,ehh,PHOEBE,Others
116,nothing remember leave,Others,RACHEL
117,hi,RACHEL,Others
118,didn’t leave lipstick mark phone,PHOEBE,ROSS
119,mean that's typical guy response,MONICA,RACHEL
120,hey-hey-hey that’s funny funny chandler funny guy wanna know else really funny,RACHEL,ROSS
121,chocolate three look like eight alright,JOEY,Others
122,ok alright ok um could please uh give message please important,RACHEL,ROSS
123,well don’t think y'know,Others,CHANDLER
124,sure,Others,RACHEL
125,man change,ROSS,CHANDLER
126,thank soo much,MONICA,RACHEL
127,wait there's hey chandler envelope,ROSS,ROSS
128,could tell hair,RACHEL,MONICA
129,ornate beautiful mean look,Others,ROSS
130,hi look um happen earlier,RACHEL,PHOEBE
131,show id want,Others,ROSS
132,well spite yummy bagel palpable tension i've get pant need alter,CHANDLER,Others
133,ooh two girl outstanding representation,Others,PHOEBE
134,still love,ROSS,RACHEL
135,robert’s come,CHANDLER,PHOEBE
136,that's i'm front,MONICA,Others
137,hey come,JOEY,CHANDLER
138,okay listen-listen we’re gonna walk way entire time,CHANDLER,CHANDLER
139,uh pretty funny wasn’t,ROSS,ROSS
140,hey chance either pick uh rachel secret santa ‘cause wanna trade,CHANDLER,ROSS
141,it’s okay it’s okay kick it’ll kick,RACHEL,JOEY
142,okay,CHANDLER,RACHEL
143,sorry,PHOEBE,Others
144,turtle scare need today,RACHEL,Others
145,yeah tell ross love honey take care don’t baby get back,RACHEL,RACHEL
146,oh god,PHOEBE,MONICA
147,know ross know,RACHEL,RACHEL
148,hi,MONICA,Others
149,look talk sing want,Others,ROSS
150,follow,JOEY,PHOEBE
151,okay go,RACHEL,CHANDLER
152,he's open,CHANDLER,PHOEBE
153,oh god monica's gonna totally freak,PHOEBE,RACHEL
154,break joanna,RACHEL,RACHEL
155,oh please god let song,Others,PHOEBE
156,right,CHANDLER,CHANDLER
157,hey one’s turkey burger,CHANDLER,MONICA
158,okay umm ever see um return jedi,ROSS,PHOEBE
159,ok here's diaper bag uh mr winky uh...oh hi,ROSS,Others
160,oh no-no no-no-no there’s none,Others,CHANDLER
161,take watch,Others,MONICA
162,easy step get,PHOEBE,CHANDLER
163,what's guitar,MONICA,PHOEBE
164,go,ROSS,CHANDLER
165,wha wha..aa let get father hey need father need father,JOEY,Others
166,mean pick much since kindergarten bring someone junior high see-saw,MONICA,MONICA
167,right guy kinda gotta clean,RACHEL,JOEY
168,talk mindy guy devil he's satan smock,RACHEL,RACHEL
169,well he's gonna i'll see little later ok hey ya doin,JOEY,Others
170,hey fun bobby whoah die,JOEY,Others
171,hey want come to-to say i’m sorry y’know know act like big idiot world completely understand upset,CHANDLER,Others
172,oh,JOEY,PHOEBE
173,"well know rockys figure know wear bullwinkle bullwinkle wear rocky rocky,or mix match moose squirrel whatever want",Others,JOEY
174,oh uh paleontologist,Others,CHANDLER
175,oh,Others,PHOEBE
176,cute fight deal move nothing freak,MONICA,JOEY
177,thanks,ROSS,ROSS
178,ohh god guy check see girl's underwear,Others,RACHEL
179,monica,Others,RACHEL
180,huh except phoebe’s gonna one get dress,RACHEL,MONICA
181,wear i’m nervous,ROSS,MONICA
182,yeah scar,JOEY,ROSS
183,eat chicken noodle soup there's chicken broth either really noodle water,PHOEBE,MONICA
184,yeah,MONICA,ROSS
185,hey listen ronni long would say chandler's shower,RACHEL,JOEY
186,none,ROSS,RACHEL
187,phoebe move,MONICA,MONICA
188,what's go,RACHEL,ROSS
189,um put suggestion box long take roller skate thing happen,CHANDLER,ROSS
190,hey rach get coffee,ROSS,MONICA
191,one atlantic city dad love slot say he’s gonna double college money grandma leave,Others,MONICA
192,well y'know don’t call yeah,PHOEBE,RACHEL
193,gunther get another cup coffee please uh you’re work,CHANDLER,ROSS
194,uh-huh,PHOEBE,ROSS
195,yes there’s two martini soo everybody back office,CHANDLER,CHANDLER
196,think gonna close casket,ROSS,ROSS
197,hey rach time get we're gonna something tonight,Others,CHANDLER
198,part dare devil game play call ‘wait last moment burst die.’,CHANDLER,CHANDLER
199,right hang,Others,RACHEL
200,didn’t say hello mr chatracus,MONICA,Others
201,yeah,JOEY,ROSS
202,okay come daddy need new pair electromagnetic microscope prehistoric forensics department okay take pinky tuscadero inspiration point collect three cool point yeah give five let’s see gonna lose clothes ummmm think pick strip poker sponsor mr joey tribianni,ROSS,RACHEL
203,vrrbddy bll drrbing,RACHEL,Others
204,get first,PHOEBE,JOEY
205,well suppose baby need,RACHEL,Others
206,oh great food hair,CHANDLER,MONICA
207,cause know look good look good love voice,PHOEBE,PHOEBE
208,oh,Others,PHOEBE
209,look carol never throw room come along,ROSS,ROSS
210,yeah se vice,ROSS,MONICA
211,tell wed go happen,Others,ROSS
212,who's,RACHEL,JOEY
213,um monica aren’t suppose play football,ROSS,PHOEBE
214,hi uh nothing horrible woman take machine,RACHEL,ROSS
215,man is…,CHANDLER,JOEY
216,hey,Others,JOEY
217,flower evil beaudalire read,Others,JOEY
218,wow happy hi,MONICA,RACHEL
219,hi,Others,Others
220,hey look ross's thing,JOEY,JOEY
221,hey would okay write song,ROSS,ROSS
222,yes sir yes sir i’m-i’m—,JOEY,CHANDLER
223,hey,Others,JOEY
224,right c'mere gimme foot,PHOEBE,ROSS
225,still can't stand,CHANDLER,Others
226,good pheebs what'd buy,RACHEL,JOEY
227,thanks photo album,ROSS,Others
228,don’t tell something don’t know,JOEY,PHOEBE
229,ok i'll go ok senior year college pool table,MONICA,CHANDLER
230,oh yeah totally that’s turn-on,JOEY,JOEY
231,water break calm,Others,MONICA
232,we'll go hotel,Others,MONICA
233,hey mr trib,Others,Others
234,wait flight leave another forty-five minute,MONICA,MONICA
235,hey hey hey clothes,Others,ROSS
236,okay fine pull,JOEY,PHOEBE
237,what's banana,RACHEL,MONICA
238,whoaa cuddle many time,JOEY,CHANDLER
239,oh ooh umm,PHOEBE,PHOEBE
240,know,JOEY,RACHEL
241,yeah actually yeah y'know life-life’s gonna kind stuff y'know learn little lesson hopefully grow wanna hear new song,PHOEBE,PHOEBE
242,what's matter scrunchy,PHOEBE,MONICA
243,restrung somebody suppose bring one,ROSS,RACHEL
244,hi frank,Others,PHOEBE
245,tomorrow he's redo yesterday's page,ROSS,Others
246,honey sweetie edge,MONICA,RACHEL
247,sound great,ROSS,MONICA
248,don’t,ROSS,CHANDLER
249,know don’t get drunk work lot girl high school,Others,PHOEBE
250,sandwich look year old i'm divorce twice got evicted sandwich good thing go life someone ate good thing go life,ROSS,ROSS
251,what’s,MONICA,MONICA
252,laundry room building,RACHEL,ROSS
253,i'm gonna talk obviously get message choose call i'm needy snub god miss needy,CHANDLER,CHANDLER
254,can't,Others,PHOEBE
255,duck doesn’t make noise,JOEY,JOEY
256,janice,JOEY,CHANDLER
