,text,labels,predicted_label
0,A couple hours.,PHOEBE,PHOEBE
1,Hello,RACHEL,JOEY
2,Harder than it sounds. Isn't it?,MONICA,CHANDLER
3,"Please, we're trying to have a conversation.",JOEY,MONICA
4,"Yes! Yes! A thousand times, yes!",CHANDLER,ROSS
5,You do know that I will be here when he comes over.,RACHEL,Others
6,"Actually, Alby is the guy I broke up with.",Others,MONICA
7,Has it been that long?!,JOEY,RACHEL
8,"Oh, God bless us, everyone.",PHOEBE,RACHEL
9,"I mean, you’re the one they’re gonna come to when they wanna run away from home, and the one they talk to about sex.",MONICA,JOEY
10,"Well, maybe it's because of the way you're dressed.",CHANDLER,CHANDLER
11,Oh! So you're driving up to Connecticut?,RACHEL,RACHEL
12,"I am not 'so'! OK, I was a teensy bit weird at first, but... I'll be good. I promise.",MONICA,MONICA
13,"Oh, my goodness, they've all gotten so big!",MONICA,Others
14,Ha!,CHANDLER,MONICA
15,Wow! Just like in the pros.,CHANDLER,JOEY
16,"Oh, good, good! We had this idea to make a birthday video for Emma and we'll give it to her when she is 18.",RACHEL,RACHEL
17,"Joey, please.",ROSS,Others
18,I think I lost. Three times.,Others,ROSS
19,Lookin' good Mr. Cotter.,JOEY,MONICA
20,"We’ve been trying to get pregnant, uh pretty much ever since we got engaged, we thought we’d get a jump on things, y’know no one’s getting any younger.",Others,PHOEBE
21,"Anyway, we'd like you to come, but we totally understand if you don't want to.",Others,CHANDLER
22,"Oh-oh, okay, okay! If you don’t mind I’m gonna the rest of my stuff, and relax, in my favourite shirt. You have a pleasant evening.",ROSS,MONICA
23,No! You don’t know the system! There’ll be nobody messing with the system!,MONICA,CHANDLER
24,You were at the coffeehouse!,ROSS,RACHEL
25,But I want to.,MONICA,JOEY
26,"Good, so everybody's here. Everybody's good. So, were you gonna play something, Phoebe?",ROSS,RACHEL
27,"I'm sorry, too! OH GOD! I shouldn't have said anything!",RACHEL,JOEY
28,Yeah.,RACHEL,PHOEBE
29,What?!,CHANDLER,JOEY
30,No! Coins hate me!,PHOEBE,JOEY
31,"Hey, Pheebs.",Others,ROSS
32,"Oh yeah, how about you and the, ""I’m sorry!""",ROSS,PHOEBE
33,"Oh yeah, I still hang with Simmons and Zana, y'know. I see Spindler a lot. Devane, Kelly, and I run into Goldie from time to time. Steve Brown, Zuchoff, McGwire, J.T., Breadsly.",Others,Others
34,"Yeah, so, he had a really funny hat—I don't want to talk about it.",PHOEBE,PHOEBE
35,"Hey-hey guys, hey! How about we settle this over a friendly game of Fireball? Huh? I'll go unhook the smoke detectors!",JOEY,Others
36,"Bye, bye.",JOEY,JOEY
37,"No, still too ethnic. My agent thinks I should have a name that's more neutral.",JOEY,RACHEL
38,"Ok, I...",RACHEL,PHOEBE
39,Yeah.,PHOEBE,CHANDLER
40,Oh my God!! The baby just kicked!,PHOEBE,JOEY
41,It's about you.,Others,JOEY
42,"So, do you guys wanna come and eat dinner at the restaurant sometime in the next few weeks?",MONICA,ROSS
43,What are you doing here?,Others,JOEY
44,Yay! I love drunk Monica!,PHOEBE,RACHEL
45,"No, I know what a silent is I meant, what’s going on with your hair?",PHOEBE,MONICA
46,Yeah.,RACHEL,ROSS
47,Could I play?,CHANDLER,RACHEL
48,"Ohhhh, sorry I missed that.",RACHEL,CHANDLER
49,Chandler?,JOEY,RACHEL
50,"No, no, uh, it's not what you think. It's um the other thing.",ROSS,Others
51,Na ha ha... Ne he he... Ah ah...,CHANDLER,JOEY
52,"Yeah, you do.",RACHEL,PHOEBE
53,Do you?,Others,ROSS
54,"Oh, great, pretty soon they'll be back together.",JOEY,PHOEBE
55,"Oh, they-they sent me home.",MONICA,MONICA
56,"No, it’s not what I want either. I mean I-I can’t force myself to fall in love with her again now.",ROSS,PHOEBE
57,"Look Rach I-I’m sorry, okay? I…I was a stupid kid, okay? The only reason I joined…",ROSS,Others
58,Hey Rach!,ROSS,MONICA
59,Movies?,JOEY,JOEY
60,"Look, either help me or go.",RACHEL,MONICA
61,Of course!!,JOEY,JOEY
62,Yeah?,ROSS,MONICA
63,"Well, i-it's okay. I-I-I understand... Well, s... well, are you happy with this guy?",Others,MONICA
64,The bathroom?,ROSS,PHOEBE
65,"Yes, when I first met you, you were like, ""Blah, blah, blah."" I was like, shhh!",PHOEBE,PHOEBE
